Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,SKU Name,SKU,Image,Subtitle,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 2C, 3C-TE / 13011-64213",1301164213C,"https://vendimageuploadcdn.global.ssl.fastly.net/500,fit,q90/vend-images/product/original/e/7/e7c0750c63cc185bc4c4a1178924e67fbcdd9e97.jpg",120 Variants,638000,460000,824000,460000,0,642000,544000,1080000,1280000,550000,1011000,0,7489000,4045756.09645,3443243.90355,0.45977,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / 0.5 / 2C, 3C-TE / 13013-64213",1301364213E,,1301364213E,95000,185000,282000,378000,285000,285000,569000,472500,661500,92000,285000,475000,4065000,2447596.89544,1617403.10456,0.39789,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 5L / 13011-54130,13011541309,,13011541309,332000,112000,0,0,112000,336000,0,0,112000,224000,0,222000,1450000,751794.26331,698205.73669,0.48152,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / 0.5 / 5L / 13013-54130,1301354130,,1301354130,0,0,0,120000,0,367000,122000,120000,0,0,0,122000,851000,443794.11784,407205.88216,0.4785,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 4A-FE, 7A-FE / 13011-16300",13011163006,,13011163006,77000,154000,154000,0,0,77000,229000,0,77000,77000,0,0,845000,439827.34695,405172.65305,0.47949,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / 0.5 / 4A-FE, 7A-FE / 13013-16300",13013163008,,13013163008,82000,0,0,80000,164000,82000,82000,0,241500,0,0,0,731500,347495.11111,384004.88889,0.52496,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 2L / 13011-54062,1301154062D,,1301154062D,100000,102000,0,205000,0,0,0,101500,0,103000,102000,0,713500,459793,253707,0.35558,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 4D56, 4D56T (Petite Fleur) / MD168293; MD103391",MD1682930001,,MD1682930001,150000,0,0,150000,0,0,0,0,0,150000,150000,0,600000,326920.01489,273079.98511,0.45513,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 1ZZ-FE, 3ZZ-FE, 4ZZ-FE / 13011-22221",13011222215,,13011222215,0,0,77000,77000,0,77000,0,0,75000,0,229000,0,535000,267637,267363,0.49974,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 4D55, 4D56 (Grande Fleur) / MD050395",MD0503950001,,MD0503950001,0,143000,143000,140000,0,0,0,0,0,0,100000,0,526000,215597.66667,310402.33333,0.59012,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 1KZ-TE / 13011-67030,1301367030,,1301367030,0,0,0,0,0,0,0,130000,130000,130000,0,130000,520000,245752,274248,0.5274,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 3L / 13011-54120,13011541208,,13011541208,0,103000,0,0,102000,0,0,0,102000,0,0,204000,511000,299565.97922,211434.02078,0.41377,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / 0.5 / 2L / 13013-54062,1301354062,,1301354062,0,0,0,0,112000,0,112000,111500,112000,0,0,0,447500,281631.775,165868.225,0.37066,0
Segment Prémium,1301164213C,,,,,Moteur,"Segment Prémium / STD / 1HZ, 1HD-TV / 13011-17030",3444559,,3444559,210000,0,0,0,0,210000,0,0,0,0,0,0,420000,178448,241552,0.57512,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 2NZ-FE / 13011-21050,13011210504,,13011210504,0,75000,0,75000,75000,0,0,0,0,0,150000,0,375000,133475.66666,241524.33334,0.64406,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / 0.5 / 2KD-FTV / 13013-30060; 13013-30031,3439704,,3439704,0,0,0,125000,0,0,0,0,0,125000,0,0,250000,120684.66666,129315.33334,0.51726,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 4N15 / 1110D480 (1 jeux),3446537,,3446537,0,0,0,0,0,0,220000,0,0,0,0,0,220000,65032,154968,0.7044,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 4E-FE / 13011-11122; 13011-11180,1301111180,,1301111180,0,0,0,0,0,0,0,0,145000,0,0,72000,217000,105045,111955,0.51592,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / 0.5 / 3L / 13013-54120,1301354120A,,1301354120A,226000,-113000,0,0,0,0,0,0,0,0,0,0,113000,73122.92308,39877.07692,0.35289,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 2AZ-FE / 13011-28161,1301128161E,,1301128161E,0,0,0,97000,0,0,0,0,0,0,0,0,97000,42661,54339,0.5602,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 3S-FE / 13011-74320,1301174320C,,1301174320C,0,0,87000,0,0,0,0,0,0,0,0,0,87000,45296,41704,0.47936,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 1AZ-FE / 13011-28121,1301128121A,,1301128121A,0,0,86000,0,0,0,0,0,0,0,0,0,86000,38692.2,47307.8,0.55009,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 1NZ-FE / 13011-21120,13011211202,,13011211202,0,0,0,0,0,0,0,0,0,78000,0,0,78000,33775.33333,44224.66667,0.56698,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / STD / 1AZ-FE / 13011-28130,1301128130A,,1301128130A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segment Prémium,1301164213C,,,,,Moteur,Segment Prémium / 0.5 / 3S-FE / 13013-74131,1301374131E,,1301374131E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / Rubia S SAE50 / 5L,6291106680072,"https://vendimageuploadcdn.global.ssl.fastly.net/500,fit,q90/vend-images/product/original/3/4/34798e2d6ebefa6ffa0c3b69bedc281490717146.jpg",16 Variants,896000,704000,992000,912000,880500,896500,1154500,2076500,2847500,2127000,30000,768000,14284500,7955031.46322,6329468.53678,0.4431,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / Rubia SX SAE40 / 5L,6291106680140,,6291106680140,0,0,0,0,0,0,0,0,0,96000,1696000,608000,2400000,2140050,259950,0.10831,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / Motoroil SAE40 / 1L,MOTOROILSAE401L,,MOTOROILSAE401L,27000,18000,4500,36000,54000,99000,43500,84000,52000,144000,0,0,562000,279936,282064,0.50189,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / 5W40 / 5L,3445236,,3445236,0,0,0,0,0,0,0,0,0,0,103500,29500,133000,101005,31995,0.24056,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / Quartz 10W40 / 4L,3445611,,3445611,0,0,0,0,0,0,0,0,0,0,18500,0,18500,9009,9491,0.51303,0
Huile moteur Total,6291106680072,,Total,,,Accessoire,Huile moteur Total / 15W40 / 5L,3445234,,3445234,0,0,0,0,0,0,0,0,0,0,16500,0,16500,7916,8584,0.52024,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Pajero/Montero V6#, V7#, V8#, V9# / Avant, G/D / BK341251 (BK341445)",BK341251,,BK341251,225000,75000,187500,75000,35000,223000,65000,65000,177500,225000,0,149000,1502000,366870.4,1135129.6,0.75575,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Pajero/Montero V6#, V7#, V8#, V9# / Arriere, G/D / BK344300; 349057T",BK344300,,BK344300,220000,0,110000,110000,110000,162000,50000,50000,162000,55000,110000,109000,1248000,301929.42858,946070.57142,0.75807,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / L200 KA#,KB#,KL# 05-UP / Avant, G/D / MR992321",MR992321,,MR992321,130000,65000,150000,99000,0,0,60000,60000,65000,0,246500,0,875500,336465.1268,539034.8732,0.61569,0
