date,meal_type,category,item_name,price,quantity,payment_method,server
2024-01-01,Breakfast,Dessert,Juice,40.09,1,Mobile,Bob
2024-01-01,Dinner,Dessert,Juice,25.67,1,Mobile,Bob
2024-01-01,Breakfast,Main Course,Cake,42.46,2,Card,Diana
2024-01-01,Breakfast,Appetizer,Soda,32.52,1,Cash,Alice
2024-01-01,Dinner,Dessert,Coffee,7.1,3,Card,Bob
2024-01-01,Dinner,Main Course,Burger,22.21,1,Mobile,Alice
2024-01-01,Dinner,Dessert,Steak,25.27,2,Cash,Diana
2024-01-01,Lunch,Main Course,Coffee,18.71,1,Card,Diana
2024-01-01,Dinner,Beverage,Soup,32.45,3,Mobile,Bob
2024-01-01,Breakfast,Beverage,Omelette,34.81,2,Card,Bob
2024-01-01,Lunch,Main Course,Salad,13.32,3,Card,Bob
2024-01-01,Lunch,Main Course,Salad,31.91,3,Card,Charlie
2024-01-01,Breakfast,Main Course,Cake,43.0,1,Card,Charlie
2024-01-01,Breakfast,Beverage,Coffee,48.44,1,Cash,Alice
2024-01-01,Dinner,Appetizer,Pancakes,5.7,1,Cash,Diana
2024-01-01,Dinner,Dessert,Burger,36.81,3,Mobile,Alice
2024-01-01,Dinner,Appetizer,Coffee,21.13,1,Mobile,Alice
2024-01-01,Lunch,Appetizer,Soup,18.99,1,Mobile,Diana
2024-01-01,Lunch,Dessert,Burger,26.25,1,Mobile,Bob
2024-01-01,Dinner,Appetizer,Steak,30.26,3,Card,Charlie
2024-01-01,Dinner,Appetizer,Coffee,6.14,1,Mobile,Charlie
2024-01-01,Dinner,Appetizer,Salad,30.35,2,Cash,Charlie
2024-01-01,Dinner,Appetizer,Juice,14.14,1,Mobile,Charlie
2024-01-01,Dinner,Main Course,Soda,46.84,1,Card,Alice
2024-01-01,Breakfast,Main Course,Soda,41.17,2,Card,Charlie
2024-01-01,Lunch,Dessert,Soda,21.03,2,Cash,Alice
2024-01-02,Breakfast,Appetizer,Burger,5.31,3,Cash,Bob
2024-01-02,Breakfast,Appetizer,Burger,17.12,3,Mobile,Bob
2024-01-02,Breakfast,Beverage,Pancakes,7.92,2,Card,Charlie
2024-01-02,Lunch,Dessert,Pancakes,11.66,1,Mobile,Alice
2024-01-02,Lunch,Main Course,Soda,7.32,1,Cash,Alice
2024-01-02,Dinner,Main Course,Omelette,28.89,2,Card,Diana
2024-01-02,Dinner,Beverage,Soup,39.27,3,Cash,Charlie
2024-01-02,Lunch,Beverage,Steak,33.45,2,Card,Charlie
2024-01-02,Dinner,Beverage,Pancakes,11.78,3,Card,Diana
2024-01-02,Breakfast,Dessert,Salad,19.67,3,Card,Charlie
2024-01-02,Dinner,Dessert,Salad,34.03,1,Cash,Diana
2024-01-02,Dinner,Main Course,Cake,11.19,1,Cash,Bob
2024-01-02,Dinner,Dessert,Coffee,16.61,2,Cash,Diana
2024-01-02,Breakfast,Main Course,Pancakes,9.19,1,Cash,Diana
2024-01-02,Dinner,Dessert,Ice Cream,17.55,3,Mobile,Diana
2024-01-02,Lunch,Beverage,Pancakes,33.89,3,Cash,Diana
2024-01-02,Lunch,Beverage,Salad,31.13,2,Cash,Charlie
2024-01-02,Breakfast,Appetizer,Omelette,12.24,2,Card,Bob
2024-01-02,Dinner,Beverage,Ice Cream,12.92,1,Card,Alice
2024-01-02,Dinner,Dessert,Pancakes,18.86,3,Mobile,Bob
2024-01-02,Dinner,Main Course,Pasta,49.05,3,Card,Diana
2024-01-02,Dinner,Dessert,Omelette,20.75,1,Mobile,Diana
2024-01-02,Breakfast,Appetizer,Soda,37.51,3,Mobile,Diana
2024-01-02,Breakfast,Beverage,Pancakes,49.75,2,Cash,Bob
2024-01-02,Breakfast,Main Course,Burger,38.65,1,Cash,Alice
2024-01-02,Lunch,Appetizer,Burger,49.11,3,Cash,Alice
2024-01-02,Dinner,Appetizer,Burger,12.63,1,Card,Charlie
2024-01-02,Lunch,Main Course,Burger,30.65,2,Mobile,Bob
2024-01-02,Dinner,Main Course,Juice,18.29,2,Cash,Diana
2024-01-02,Breakfast,Appetizer,Juice,36.9,3,Cash,Bob
2024-01-02,Dinner,Main Course,Burger,16.53,1,Card,Charlie
2024-01-02,Breakfast,Beverage,Salad,34.25,2,Card,Diana
2024-01-02,Dinner,Dessert,Soda,31.05,3,Mobile,Bob
2024-01-02,Dinner,Appetizer,Coffee,29.42,1,Card,Bob
2024-01-02,Lunch,Main Course,Pancakes,6.68,2,Mobile,Bob
2024-01-02,Dinner,Beverage,Steak,28.5,1,Cash,Charlie
2024-01-02,Lunch,Appetizer,Salad,23.51,3,Mobile,Diana
2024-01-02,Breakfast,Main Course,Soda,37.16,3,Cash,Diana
